,Bedrooms,Bathrooms,Land area,CV,Latitude,Longitude,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Population,NZDep2018,NZDep2018_Score
1031,3,2.0,971.0,2425000,-36.9513274,174.84849509999998,42,27,33,15,24,21,168,9.0,1109.0
1032,4,2.0,344.0,1000000,-36.8984767,174.7009007,36,27,21,24,15,18,132,6.0,995.0
1033,3,1.0,581.0,990000,-36.9153146,174.79007990000002,45,24,30,18,24,12,159,2.0,919.0
1034,4,2.0,1743.0,2375000,-36.88879779999999,174.7583858,60,51,30,39,18,18,216,6.0,986.0
1035,4,2.0,350.0,1150000,-36.9108802,174.7274244,51,60,39,18,30,21,219,6.0,986.0
1036,5,2.0,340.0,760000,-36.9071565,174.7342241,42,33,33,21,27,60,210,10.0,1301.0
1037,5,3.0,1080.0,3750000,-36.86708370000001,174.79880690000002,33,18,9,15,30,42,141,1.0,871.0
1038,5,2.0,620.0,2250000,-36.8875514,174.78244919999997,51,24,12,21,27,33,174,5.0,958.0
1039,5,6.0,3565.0,12500000,-36.8755519,174.7954021,42,9,6,27,30,36,150,1.0,849.0
1040,5,3.0,736.0,1175000,-36.9304223,174.7190441,30,36,27,21,30,24,165,6.0,987.0
1041,6,2.0,2053.0,1453000,-36.939243,174.847542,39,15,27,21,12,21,135,10.0,1189.0
1042,6,1.0,640.0,2925000,-36.8805028,174.76218590000002,36,63,12,27,21,27,192,5.0,956.0
1043,3,1.0,506.0,2175000,-36.853863700000005,174.7851834,42,48,21,39,21,39,210,3.0,924.0
1044,4,3.0,578.0,4000000,-36.854497200000004,174.8100437,15,15,18,9,15,27,102,7.0,1029.0
1045,1,1.0,252.0,920000,-36.8494974,174.83981509999998,9,12,15,12,21,54,123,3.0,932.0
1046,4,1.0,1368.0,670000,-36.899255,174.7611645,54,18,15,24,21,27,159,1.0,885.0
1047,6,1.0,607.0,1200000,-36.844933000000005,174.770001,15,27,24,15,18,30,129,6.0,981.0
1048,5,3.0,453.0,1250000,-36.9122424,174.75672590000002,36,30,45,21,24,21,180,6.0,976.0
1049,5,2.0,1854.0,5300000,-36.8796648,174.7876684,48,18,12,15,36,45,174,1.0,891.0
1050,3,1.0,806.0,1665000,-36.897104299999995,174.8001712,54,33,27,27,15,30,192,4.0,946.0
